#,,"generated_by='OpenQuake engine 3.24.1', start_date='2026-03-04T10:33:37', checksum=3862909754"
custom_site_id,lon,lat
rb4vxdhx,172.95300,-44.02100
rb4vxf5p,172.96200,-44.02100
rb5j841x,172.97100,-44.02100
rb5j860p,172.98000,-44.02100
rb5j86nx,172.98900,-44.02100
rb5j8djr,172.99800,-44.02100
rb5j8f5z,173.00700,-44.02100
rb5j944r,173.01600,-44.02100
rb5j960z,173.02500,-44.02100
rb5j96px,173.03400,-44.02100
rb5j9dnp,173.04300,-44.02100
rb5j9fhx,173.05200,-44.02100
rb5jd45p,173.06100,-44.02100
rb5jd61x,173.07000,-44.02100
rb5jdd0r,173.07900,-44.02100
rb5jddnz,173.08800,-44.02100
rb5jdfjr,173.09700,-44.02100
rb5je45z,173.10600,-44.02100
rb5je64r,173.11500,-44.02100
rb5jed1p,173.12400,-44.02100
rb5jedpx,173.13300,-44.02100
rb5jefnp,173.14200,-44.02100
rb5js4hx,173.15100,-44.02100
rb5js65r,173.16000,-44.02100
rb5jsd1z,173.16900,-44.02100
rb5jsf0r,173.17800,-44.02100
rb5jsfnz,173.18700,-44.02100
rb5jt4jr,173.19600,-44.02100
rb5jt6hp,173.20500,-44.02100
rb5jtd4x,173.21400,-44.02100
rb5jtf1p,173.22300,-44.02100
rb5jtfpx,173.23200,-44.02100
rb5jw4np,173.24100,-44.02100
rb5jw6hz,173.25000,-44.02100
rb5jwd5r,173.25900,-44.02100
rb5jwf1z,173.26800,-44.02100
rb5jx40r,173.27700,-44.02100
rb5jx4pp,173.28600,-44.02100
rb5jx6jx,173.29500,-44.02100
rb5jxdhp,173.30400,-44.02100
rb5jxf4x,173.31300,-44.02100
rb5m841p,173.32200,-44.02100
rb5m84pz,173.33100,-44.02100
rb5m86nr,173.34000,-44.02100
rb5m8dhz,173.34900,-44.02100
rb5m8f5r,173.35800,-44.02100
rb5m941z,173.36700,-44.02100
rb5m960x,173.37600,-44.02100
rb5m96pp,173.38500,-44.02100
rb5m9djx,173.39400,-44.02100
rb4mtegg,172.16100,-44.01200
rb4mtgf7,172.17000,-44.01200
rb4mw5bg,172.17900,-44.01200
rb4mw5z7,172.18800,-44.01200
rb4mw7y5,172.19700,-44.01200
rb4mweue,172.20600,-44.01200
rb4mwgg5,172.21500,-44.01200
rb4mx5ce,172.22400,-44.01200
rb4mx7b5,172.23300,-44.01200
rb4mx7yg,172.24200,-44.01200
rb4mxev7,172.25100,-44.01200
rb4mxggg,172.26000,-44.01200
rb4t85f7,172.26900,-44.01200
rb4t87c5,172.27800,-44.01200
rb4t87ze,172.28700,-44.01200
rb4t8ey5,172.29600,-44.01200
rb4t8gue,172.30500,-44.01200
rb4t95g5,172.31400,-44.01200
rb4t97cg,172.32300,-44.01200
rb4t9eb7,172.33200,-44.01200
rb4t9eyg,172.34100,-44.01200
rb4t9gv7,172.35000,-44.01200
rb4td5gg,172.35900,-44.01200
rb4td7fe,172.36800,-44.01200
rb4tdec5,172.37700,-44.01200
rb4tdeze,172.38600,-44.01200
rb4tdgy5,172.39500,-44.01200
rb4te5ug,172.40400,-44.01200
rb4te7g7,172.41300,-44.01200
rb4teecg,172.42200,-44.01200
rb4tegb7,172.43100,-44.01200
rb4tegyg,172.44000,-44.01200
rb4ts5ve,172.44900,-44.01200
rb4ts7u5,172.45800,-44.01200
rb4tsefe,172.46700,-44.01200
rb4tsgc5,172.47600,-44.01200
rb4tsgze,172.48500,-44.01200
rb4tt5y7,172.49400,-44.01200
rb4tt7ug,172.50300,-44.01200
rb4tteg7,172.51200,-44.01200
rb4ttgcg,172.52100,-44.01200
rb4tw5be,172.53000,-44.01200
rb4tw5z5,172.53900,-44.01200
rb4tw7ve,172.54800,-44.01200
rb4tweu5,172.55700,-44.01200
rb4twgfe,172.56600,-44.01200
rb4tx5c7,172.57500,-44.01200
rb4tx5zg,172.58400,-44.01200
rb4tx7y7,172.59300,-44.01200
rb4txeug,172.60200,-44.01200
rb4txgg7,172.61100,-44.01200
rb4v85f5,172.62000,-44.01200
rb4v87be,172.62900,-44.01200
rb4v87z5,172.63800,-44.01200
rb4v8eve,172.64700,-44.01200
rb4v8gu7,172.65600,-44.01200
rb4v95fg,172.66500,-44.01200
rb4v97c7,172.67400,-44.01200
rb4v97zg,172.68300,-44.01200
rb4v9ey7,172.69200,-44.01200
rb4v9gv5,172.70100,-44.01200
rb4vd5ge,172.71000,-44.01200
rb4vd7f5,172.71900,-44.01200
rb4vdebe,172.72800,-44.01200
rb4vdez5,172.73700,-44.01200
rb4vdgvg,172.74600,-44.01200
rb4ve5u7,172.75500,-44.01200
rb4ve7fg,172.76400,-44.01200
rb4veec7,172.77300,-44.01200
rb4vegb5,172.78200,-44.01200
rb4vegye,172.79100,-44.01200
rb4vs5v5,172.80000,-44.01200
rb4vs7ge,172.80900,-44.01200
rb4vsef5,172.81800,-44.01200
rb4vsgbg,172.82700,-44.01200
rb4vsgz7,172.83600,-44.01200
rb4vt5vg,172.84500,-44.01200
rb4vt7u7,172.85400,-44.01200
rb4vtefg,172.86300,-44.01200
rb4vtgce,172.87200,-44.01200
rb4vw5b5,172.88100,-44.01200
rb4vw5ye,172.89000,-44.01200
rb4vw7v5,172.89900,-44.01200
rb4vwegg,172.90800,-44.01200
rb4vwgf7,172.91700,-44.01200
rb4vx5bg,172.92600,-44.01200
rb4vx5z7,172.93500,-44.01200
rb4vx7vg,172.94400,-44.01200
rb4vxeue,172.95300,-44.01200
rb4vxgg5,172.96200,-44.01200
rb5j85ce,172.97100,-44.01200
rb5j87b5,172.98000,-44.01200
rb5j87ye,172.98900,-44.01200
rb5j8ev7,172.99800,-44.01200
rb5j8ggg,173.00700,-44.01200
rb5j95f7,173.01600,-44.01200
rb5j97bg,173.02500,-44.01200
rb5j97ze,173.03400,-44.01200
rb5j9ey5,173.04300,-44.01200
rb5j9gue,173.05200,-44.01200
