#,,,,,,,,"generated_by='OpenQuake engine 3.24.1', start_date='2026-03-04T10:33:37', checksum=3862909754"
sids,lon,lat,depth,vs30,vs30measured,z1pt0,z2pt5,custom_site_id
180,172.53900,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4tqnzn
181,172.54800,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4tqqvw
182,172.55700,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4tqwun
183,172.56600,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4tqyfw
184,172.57500,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4trncq
185,172.58400,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4trnzy
186,172.59300,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4trqyq
187,172.60200,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4trwuy
188,172.61100,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4trygq
189,172.62000,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v2nfn
190,172.62900,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v2qbw
191,172.63800,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v2qzn
192,172.64700,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v2wvw
193,172.65600,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v2yuq
194,172.66500,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v3nfy
195,172.67400,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v3qcq
196,172.68300,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v3qzy
197,172.69200,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v3wyq
198,172.70100,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v3yvn
199,172.71000,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v6ngw
200,172.71900,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v6qfn
201,172.72800,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v6wbw
202,172.73700,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v6wzn
203,172.74600,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v6yvy
204,172.75500,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v7nuq
205,172.76400,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v7qfy
206,172.77300,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v7wcq
207,172.78200,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v7ybn
208,172.79100,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v7yyw
209,172.80000,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vknvn
210,172.80900,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vkqgw
211,172.81800,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vkwfn
212,172.82700,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vkyby
213,172.83600,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vkyzq
214,172.84500,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vmnvy
215,172.85400,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vmquq
216,172.86300,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vmwfy
217,172.87200,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vmycw
218,172.88100,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vqnbn
219,172.89000,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vqnyw
220,172.89900,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vqqvn
221,172.90800,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vqwgy
222,172.91700,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vqyfq
223,172.92600,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vrnby
224,172.93500,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vrnzq
225,172.94400,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vrqvy
226,172.95300,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vrwuw
227,172.96200,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vrygn
228,172.97100,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j2ncw
229,172.98000,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j2qbn
230,172.98900,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j2qyw
231,172.99800,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j2wvq
232,173.00700,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j2ygy
233,173.01600,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j3nfq
234,173.02500,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j3qby
235,173.03400,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j3qzw
236,173.04300,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j3wyn
237,173.05200,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j3yuw
238,173.06100,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j6ngn
239,173.07000,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j6qcw
240,173.07900,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j6wbq
241,173.08800,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j6wyy
242,173.09700,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j6yvq
243,173.10600,-44.03900,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb5j7ngy
